Column1,link,text,date,NoOfComments,NoOfRetweets,NoOfQuotes,NoOfLikes,LinkToPicture
0,https://twitter.com/RONBupdates/status/1749677706873274860#m,???????? ?????: Celebrations around Janakpur & Janaki Mandir Area Last night after Ayodhya's Ram Mandir Inauguration. ??  Pic. We Cleek,"Jan 23, 2024 · 6:17 AM UTC",0,2,0,31,['https://pbs.twimg.com/media/GEgal-HXsAAg5Mq.jpg']
1,https://twitter.com/RONBupdates/status/1749673832347246692#m,???? ??? ??????? ????: ???????? ????????????? ??????????? ???? (??-?? ???) immigration officer ??? ??????? ?????? ??????? ??? ????? ???? ???????? ????? ??????? ????????? ? ????? ???? immigration ?????? ???????? ????,"Jan 23, 2024 · 6:02 AM UTC",1,3,1,27,['https://pbs.twimg.com/media/GEgXEiFXUAAoGFA.jpg']
2,https://twitter.com/RONBupdates/status/1749668422949237233#m,"One of the rarest animal, Snow Leopard Spotted in Manang. ?? Can you see it?  Pic. @tashirghalephotography","Jan 23, 2024 · 5:40 AM UTC",3,5,0,71,['https://pbs.twimg.com/media/GEgSJzYXsAAxWSI.jpg']
3,https://twitter.com/RONBupdates/status/1749649090412249506#m,Reminder: Kathmandu Metro has stopped the parking in the Pitch road of New Road area from today and will provide Kathmandu Tower as a free alternative space for parking.  Pic. @anzaankc_,"Jan 23, 2024 · 4:23 AM UTC",6,6,3,174,['https://pbs.twimg.com/media/GEgAkV6WYAAebId.jpg']
4,https://twitter.com/RONBupdates/status/1749644913883726150#m,"????? ????? ??? Celebrity ??? ???? ????? ???? ????: Anil Kumar gets honoured by Airline company for helping Nas Daily when he needed 150$ cash to book a next flight. Nas Daily says, ""We paid him back & now he got an award. Karma is real."" ??","Jan 23, 2024 · 4:07 AM UTC",0,1,0,59,['https://pbs.twimg.com/media/GEf8xOxXUAAY-Xg.jpg']
5,https://twitter.com/RONBupdates/status/1749635311280467998#m,"? ?????? ???????? ??????? ????????? ?????? ?????, ???????? ???? ????? ? ??? ?????? ?????????? ?????? ?????????? ????? ???? ????? ?????? ?????? ????????? ?????? ????? ???? ?? #Congratulations","Jan 23, 2024 · 3:28 AM UTC",0,2,3,117,['https://pbs.twimg.com/media/GEf0CEmWMAAgbZb.jpg']
6,https://twitter.com/RONBupdates/status/1749633133396521139#m,???? ???? ????? ???? MBBS ?? ?????? ????????? ????? ?????????: 17 Yrs Old Lalit Sarki from Kanchanpur has successfully passed the full scholarship MBBS entrance exam with self preparation at home. ??,"Jan 23, 2024 · 3:20 AM UTC",0,5,0,125,['https://pbs.twimg.com/media/GEfyDJbWQAEpdi6.jpg']
7,https://twitter.com/RONBupdates/status/1749625665140510851#m,Kathmandu ma Kotha (????) khojdinchu vanera social media ma prachar garne ani manche sanga advance paisa online magera block hanidine case haru badheko cha. Please be aware.,"Jan 23, 2024 · 2:50 AM UTC",0,1,0,30,[]
8,https://twitter.com/RONBupdates/status/1749615615030264215#m,????????? ?????? ?????? ???? : Nepal Government has recently started exporting Nepali organic tea leaves to Pakistan which is one of the biggest tea consumer in the world ????  Pic. Sundar Mainali,"Jan 23, 2024 · 2:10 AM UTC",2,3,0,103,['https://pbs.twimg.com/media/GEfiH0yWAAMz8y_.jpg']
9,https://twitter.com/RONBupdates/status/1749615396381180132#m,"Did you know? : Just like PUBG, DOTA etc, There is World Championship of Microsoft Excel as well & it is considered as eSports where participants solve different problems using best features. ??","Jan 23, 2024 · 2:09 AM UTC",3,0,0,54,['https://pbs.twimg.com/media/GEfh61wXwAAYwFB.jpg']
10,https://twitter.com/RONBupdates/status/1749615132932792790#m,Tuesday Morning and statue of Lord Ganesh at Devchuli. ????   Pic. Aashik Khadka,"Jan 23, 2024 · 2:08 AM UTC",0,9,0,202,['https://pbs.twimg.com/media/GEfhruoWEAADgwh.jpg']
11,https://twitter.com/RONBupdates/status/1749475832626810933#m,"???????? ?????? ??,???+ ???? ????? ??????? ""?? ???? ???"" ????  Video. adarsshgupta","Jan 22, 2024 · 4:55 PM UTC",19,77,7,819,[]
12,https://twitter.com/RONBupdates/status/1749466034359214189#m,??? ???? ???? ?? ???? ????? ?????? ????? ?? ???? ???????? ??? ? ????? ??????,"Jan 22, 2024 · 4:16 PM UTC",1,3,0,34,[]
13,https://twitter.com/RONBupdates/status/1749461213870965207#m,,"Jan 22, 2024 · 3:57 PM UTC",2,1,1,37,"['https://pbs.twimg.com/media/GEdVso1XEAEU3Sf.jpg', 'https://pbs.twimg.com/media/GEdVso1WEAQxNbp.jpg']"
14,https://twitter.com/RONBupdates/status/1749461202001125738#m,????? ????? ????? ?????? ?????: ??????? ??? ?????? ????? ??????????? ?????? ??????? ??????? ??????? ??? ????? ???????? ??????? ? ? ????,"Jan 22, 2024 · 3:57 PM UTC",3,25,1,271,"['https://pbs.twimg.com/media/GEdVrqBW4AA0Jlc.jpg', 'https://pbs.twimg.com/media/GEdVrqBWsAAJ0R3.jpg', 'https://pbs.twimg.com/media/GEdVrqEXwAA9Mo8.jpg', 'https://pbs.twimg.com/media/GEdVrqBXAAADgjN.jpg']"
15,https://twitter.com/RONBupdates/status/1749453123670917464#m,"???? ?, ?????? ?????????: It's time for RONB's extra dose of news for today. #StayUpdated #StayWarm","Jan 22, 2024 · 3:25 PM UTC",0,1,0,47,['https://pbs.twimg.com/media/GEdOVmwWoAAeh-5.jpg']
16,https://twitter.com/RONBupdates/status/1749445021319721378#m,Important for People visiting Newroad: ???????? ?????????????? ???? (??? ? ??? ???????) ???? ??????? ??????? ????????? ????? ?????????? ???? ????? ???? ? ??? ???? ???????? ???????? ?????? ???????? ?????????? ?????? ?????? ?????? ? ? ??????? ??? ????? ????? ????? ??? ??????? ?????? ? ?   Pic. Surendralive,"Jan 22, 2024 · 2:52 PM UTC",2,4,1,100,['https://pbs.twimg.com/media/GEdG7i-W0AIffB4.jpg']
17,https://twitter.com/RONBupdates/status/1749440974256771438#m,Cotton Candy ????????!   #awareness #cottoncandy,"Jan 22, 2024 · 2:36 PM UTC",5,17,1,117,[]
